1646092800000,395.80000000,424.50000000,391.00000000,406.20000000,299374.23800000,1646135999999,121400956.45120000,147890,154419.85700000,62565018.55350000,0
1646136000000,406.20000000,414.20000000,393.10000000,408.80000000,219080.78000000,1646179199999,89085652.40530000,127785,107974.80400000,43942235.35290000,0
1646179200000,408.90000000,415.80000000,404.10000000,413.10000000,145744.02000000,1646222399999,59946338.94190000,82795,71773.52000000,29525070.31010000,0
1646222400000,413.10000000,415.00000000,404.00000000,409.50000000,128399.79400000,1646265599999,52572626.19810000,87767,60148.45000000,24645448.86380000,0
1646265600000,409.50000000,411.20000000,403.00000000,407.70000000,86606.16900000,1646308799999,35253202.63900000,49724,40412.74200000,16453905.90330000,0
1646308800000,407.80000000,413.30000000,397.60000000,402.60000000,125574.59700000,1646351999999,50765555.61650000,79332,61477.19600000,24859447.40880000,0
1646352000000,402.50000000,403.60000000,389.00000000,396.90000000,106095.14100000,1646395199999,41836474.45230000,61683,52801.52900000,20823917.11930000,0
1646395200000,397.00000000,398.20000000,372.00000000,374.30000000,151691.41200000,1646438399999,58506727.32110000,86184,72436.04200000,27961105.44480000,0
1646438400000,374.30000000,380.80000000,367.20000000,380.40000000,92939.33700000,1646481599999,34802763.79960000,52319,47130.84000000,17668769.75930000,0
1646481600000,380.40000000,387.30000000,377.60000000,384.90000000,68996.17000000,1646524799999,26343111.34890000,47476,34106.85800000,13024285.99570000,0
1646524800000,384.90000000,387.40000000,372.50000000,375.80000000,70393.45400000,1646567999999,26777720.47510000,45226,31477.71900000,11986259.41460000,0
1646568000000,375.70000000,385.00000000,373.00000000,375.10000000,86136.82400000,1646611199999,32677318.80480000,56761,44226.96000000,16782150.07500000,0
1646611200000,375.20000000,378.10000000,365.50000000,375.50000000,106237.98300000,1646654399999,39514084.90180000,61916,51241.28100000,19067288.53050000,0
1646654400000,375.60000000,385.60000000,362.90000000,380.60000000,206438.68800000,1646697599999,77863593.70930000,120235,106926.33900000,40362949.40180000,0
1646697600000,380.60000000,388.80000000,376.90000000,386.00000000,105711.77800000,1646740799999,40488955.68050000,68959,57120.00300000,21888296.12200000,0
1646740800000,386.10000000,388.00000000,378.00000000,381.40000000,118453.64100000,1646783999999,45381664.91470000,80615,59014.66000000,22618009.92610000,0
1646784000000,381.50000000,402.60000000,381.10000000,395.30000000,216823.40600000,1646827199999,85443780.93810000,109460,117053.11900000,46081931.82490000,0
1646827200000,395.40000000,397.90000000,390.60000000,393.40000000,127015.86200000,1646870399999,50130514.87300000,69857,61074.06100000,24111139.82320000,0
1646870400000,393.30000000,394.60000000,373.60000000,376.10000000,121326.39800000,1646913599999,46314331.41130000,68830,55587.08000000,21221220.42900000,0
1646913600000,376.00000000,377.70000000,363.10000000,372.10000000,139815.36000000,1646956799999,51693512.75630000,81858,66469.74300000,24589291.36750000,0
1646956800000,372.10000000,379.30000000,364.80000000,377.60000000,81449.55800000,1646999999999,30245209.46630000,57367,43944.96600000,16328077.62870000,0
1647000000000,377.60000000,380.00000000,368.60000000,371.90000000,76775.23100000,1647043199999,28664401.15080000,55436,40199.99900000,15014419.98180000,0
1647043200000,371.90000000,378.70000000,371.40000000,376.20000000,51391.52800000,1647086399999,19296181.92320000,39179,28052.17700000,10537665.56550000,0
1647086400000,376.20000000,379.20000000,371.90000000,372.30000000,42856.25500000,1647129599999,16130798.07380000,35829,21776.75800000,8202284.28400000,0
1647129600000,372.40000000,377.10000000,370.30000000,371.00000000,42722.41900000,1647172799999,15968696.89790000,31005,21322.43400000,7973839.06920000,0
1647172800000,370.90000000,373.70000000,360.20000000,361.50000000,68937.74100000,1647215999999,25400911.83860000,54733,31439.81900000,11596818.55730000,0
1647216000000,361.40000000,371.70000000,359.70000000,368.60000000,67489.59200000,1647259199999,24765570.66110000,48281,34528.92700000,12676839.22370000,0
1647259200000,368.50000000,374.00000000,363.80000000,373.50000000,69538.44600000,1647302399999,25613770.94780000,53446,36791.49100000,13557780.48150000,0
1647302400000,373.50000000,374.70000000,362.00000000,365.40000000,57810.07100000,1647345599999,21219937.61180000,41553,26145.72600000,9599615.02550000,0
1647345600000,365.30000000,374.70000000,363.70000000,371.80000000,77232.03400000,1647388799999,28594535.85420000,53735,41711.83300000,15447173.10900000,0
1647388800000,371.70000000,383.30000000,366.40000000,377.70000000,113590.95500000,1647431999999,42651045.99320000,75208,59277.05600000,22277821.65130000,0
1647432000000,377.70000000,386.70000000,372.30000000,385.50000000,112642.63700000,1647475199999,42736369.98520000,79048,58701.79700000,22291242.50880000,0
1647475200000,385.50000000,388.70000000,381.90000000,385.20000000,67431.12700000,1647518399999,25962127.08900000,49253,36211.94900000,13944913.71090000,0
1647518400000,385.10000000,393.60000000,384.80000000,392.10000000,82584.62500000,1647561599999,32181724.11120000,67736,43765.53000000,17057152.20760000,0
1647561600000,392.00000000,392.70000000,384.20000000,385.90000000,63890.95000000,1647604799999,24741570.98130000,46372,31769.75000000,12302519.78930000,0
1647604800000,386.00000000,400.50000000,385.40000000,397.40000000,100009.74100000,1647647999999,39469906.66610000,68757,56512.48100000,22303234.03890000,0
1647648000000,397.40000000,402.70000000,395.20000000,401.20000000,59183.19100000,1647691199999,23590386.70540000,44951,31128.91300000,12412289.95470000,0
1647691200000,401.10000000,406.40000000,396.20000000,400.00000000,78852.13900000,1647734399999,31718925.68210000,63613,38543.94000000,15511879.46120000,0
1647734400000,400.00000000,402.80000000,393.00000000,393.20000000,55785.30500000,1647777599999,22122893.46570000,44694,26983.52000000,10708446.18840000,0
